자치구,벚나무,LAT,LON
강동구,벚나무,37.5594983,127.1435808
강동구,벚나무,37.5265734,127.1449167
강동구,벚나무,37.5215745,127.1455102
강동구,벚나무,37.5264462,127.1477347
강동구,벚나무,37.5252628,127.1472506
강동구,벚나무,37.5253185,127.1472749
강동구,벚나무,37.5439907,127.1254505
강동구,벚나무,37.525012,127.1471586
강동구,벚나무,37.5409898,127.1243573
강동구,벚나무,37.5242509,127.1468475
강동구,벚나무,37.5400177,127.1239864
강동구,벚나무,37.5249108,127.1468668
강동구,벚나무,37.5212872,127.1454047
강동구,벚나무,37.5444586,127.125614
강동구,벚나무,37.5246797,127.1470206
강동구,벚나무,37.5184121,127.1442706
강동구,벚나무,37.5430546,127.124895
강동구,벚나무,37.521504,127.1454838
강동구,벚나무,37.51866,127.1443722
강동구,벚나무,37.5461258,127.126002
강동구,벚나무,37.5596002,127.1435771
강동구,벚나무,37.5596448,127.1435772
강동구,벚나무,37.5399238,127.1237401
강동구,벚나무,37.5267114,127.1478422
강동구,벚나무,37.524463,127.1466843
강동구,벚나무,37.5224102,127.1458298
강동구,벚나무,37.559785,127.1434696
강동구,벚나무,37.5211201,127.1453421
강동구,벚나무,37.5265876,127.1475276
강동구,벚나무,37.5406769,127.1242378
강동구,벚나무,37.5216319,127.1455332
강동구,벚나무,37.5194674,127.144698
강동구,벚나무,37.5242161,127.1465876
강동구,벚나무,37.5431241,127.1251408
강동구,벚나무,37.5554292,127.1701155
강동구,벚나무,37.5261432,127.1461864
강동구,벚나무,37.5260116,127.1466813
강동구,벚나무,37.5424808,127.1246952
강동구,벚나무,37.5429021,127.125067
강동구,벚나무,37.5426081,127.1249702
강동구,벚나무,37.5236474,127.1463451
강동구,벚나무,37.5462108,127.1260313
강동구,벚나무,37.541687,127.1244218
강동구,벚나무,37.5393622,127.1235235
강동구,벚나무,37.5261069,127.1467407
강동구,벚나무,37.5249896,127.1468971
강동구,벚나무,37.5185635,127.1443362
강동구,벚나무,37.5262342,127.1462242
강동구,벚나무,37.5324842,127.1502325
강동구,벚나무,37.541757,127.1244386
강동구,벚나무,37.5448549,127.1255351
강동구,벚나무,37.5253807,127.1473019
강동구,벚나무,37.5254989,127.1471096
강동구,벚나무,37.5258801,127.1471628
강동구,벚나무,37.5258094,127.1472228
강동구,벚나무,37.5467635,127.1262236
강동구,벚나무,37.5269329,127.1476737
강동구,벚나무,37.5402452,127.1240705
강동구,벚나무,37.5251382,127.1469551
