"캠페인보고서(2021.10.01.~2021.12.31.),colosseumkr:naver",,,,,,,,,,,,,
캠페인유형,캠페인,광고그룹,소재,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환율(%),전환당비용(원)
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고세일,12,0,0,0,0,1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고시스템,2,0,0,0,0,14,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고신축,12,0,0,0,0,11.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고업,334,0,0,0,0,16.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고업체,429,0,0,0,0,12.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고인테리어,15,0,0,0,0,1.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고임대,3,0,0,0,0,74.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고임대료,335,0,0,0,0,12.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고임대업,59,0,0,0,0,1.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고정보,14,0,0,0,0,1.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고컨설팅,17,0,0,0,0,2.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고허가,101,1,1,77,77,1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류컨설턴트,423,1,0.24,660,660,2.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류컨설팅,154,0,0,0,0,23.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류포장,460,0,0,0,0,16.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류플랫폼,592,0,0,0,0,13.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류회사,4,0,0,0,0,69.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류회사리스트,50,1,2,77,77,1.9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류회사순위,117,0,0,0,0,9.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류회사이름,21,0,0,0,0,9.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류회사취업,27,0,0,0,0,11.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물품보관,1,0,0,0,0,13,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,미국배송,96,0,0,0,0,26.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,미국배송대행,2,0,0,0,0,31.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,미국포워딩,30,0,0,0,0,8.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,미술품보관,10,0,0,0,0,27,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,밀크런,833,1,0.13,88,88,10.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,바코드재고관리프로그램,5,0,0,0,0,44.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,박스포장,4,0,0,0,0,52.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,박스포장대행,6,0,0,0,0,8.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,박스포장업체,2,0,0,0,0,18,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,반려동물물류,3,0,0,0,0,1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배대지배송비,21,0,0,0,0,2.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배대지사이트,18,0,0,0,0,12.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배대지업체,131,0,0,0,0,3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,배대지추천,6,0,0,0,0,29.5,0,0,0
